,Medium,Classification,class_color
31558,Felt-tip pen on mulberry papier mâché globe,Drawing,black
31560,Pencil and pastel on gelatin silver print,Drawing,black
31564,Tempera with egg white,Drawing,black
31565,Ink on paper (recto and verso),Drawing,black
31567,"Pencil, crayon, and watercolor on paper",Drawing,black
31568,Watercolor on paper (recto and verso),Drawing,black
31569,Brush and ink on paper mounted on wood,Drawing,black
31571,Cut-and-pasted printed paper and watercolor on paper,Drawing,black
31572,Charcoal and chalk on colored paper,Drawing,black
31573,Wax pastel,Drawing,black
31575,Ink on transparentized graph paper,Drawing,black
31576,"Metallic paint, gouache, watercolor and pencil on paper on board",Drawing,black
31578,Crayon and tempera with egg white,Drawing,black
31579,"Gouache, ink, and wax on paper",Drawing,black
31580,Ink and chalk on paper,Drawing,black
31581,Ink on paper mounted on plywood,Drawing,black
31583,"Cut-and-pasted papers, torn papers, and gouache on paper",Drawing,black
31584,Ink on brown paper,Drawing,black
31585,Ink on transparentized graph paper on board,Drawing,black
31586,"Metallic paint, watercolor, and pencil on paper",Drawing,black
31588,Watercolor and pencil on paper (recto); Pencil on paper (verso),Drawing,black
31589,Cut-and-pasted colored photo-engravings,Drawing,black
31590,"Gouache, watercolor, and ink on paper",Drawing,black
31592,"Parcel post wrapping, stamps, ink, and cut-and-pasted printed paper",Drawing,black
31594,Ink on paper mounted on silk scroll,Drawing,black
31597,Synthetic polymer paint airbrushed on paper,Drawing,black
31598,Watercolor and ink on transparentized paper,Drawing,black
31599,Chalk on colored paper,Drawing,black
31600,Oil wash on paper,Drawing,black
31602,Oil and gouache on board,Drawing,black
31603,Ink and pencil on paper,Drawing,black
31604,"Gouache, oil wash, and charcoal on paper",Drawing,black
31606,"Charcoal pencil, and gouache on cardboard",Drawing,black
31607,Watercolor and ink on paper,Drawing,black
31608,Watercolor and charcoal on paper,Drawing,black
31610,Ink and colored ink on paper,Drawing,black
31611,Oil on paper over cardboard,Drawing,black
31612,Decalcomania (ink transfer) on paper,Drawing,black
31616,Colored ink and pencil on paper,Drawing,black
31617,Pigmented paste on newspaper,Drawing,black
31619,Ink and watercolor on paper,Drawing,black
31621,Charcoal and wash on paper,Drawing,black
31622,Pencil and gouache on paper,Drawing,black
31624,"Watercolor, ink, and pencil on paper",Drawing,black
31626,"Construction of paper, soot, spit, and string",Drawing,black
31627,Watercolor and pencil on paper (recto and verso),Drawing,black
31631,Crayon and ink on paper,Drawing,black
31632,Ink on paper on board,Drawing,black
31633,Ink on board,Drawing,black
31637,Pencil on brown paper,Drawing,black
31641,"Gouache, watercolor, and colored paper on cut-and-pasted paper",Drawing,black
31642,"Paper, soot, spit, and string",Drawing,black
31643,"Watercolor and graphite on paper, laminated",Drawing,black
31645,Casein on cardboard,Drawing,black
31646,"Watercolor, ink, and charcoal on paper",Drawing,black
31649,Colored ink and ink on board,Drawing,black
31650,Decalcomania (ink transfer) on paper (recto and verso),Drawing,black
31651,"Cut-and-pasted paper, watercolor, and ink on wood, on linen-covered mount",Drawing,black
31653,Gouache on board,Drawing,black
31655,Ink on colored paper,Drawing,black
31663,Ink and crayon on cut-and-pasted paper,Drawing,black
31665,Transfer and ink on pink paper,Drawing,black
31666,Decalcomania (gouache transfer) with gouache additions on paper,Drawing,black
31668,White ink on black paper,Drawing,black
31670,"Found paper, soot, spit and string",Drawing,black
31671,Ink and colored pencil on paper,Drawing,black
31676,"Cut-and-pasted paper with ink transfer on paper, mounted on board",Drawing,black
31677,"Watercolor, dry brush and ink, and graphite on paper",Drawing,black
31679,Ink on rice paper,Drawing,black
31680,Cut-and-pasted painted fabric and paper on cardboard,Drawing,black
31684,"Ink, crayon, and pencil on paper",Drawing,black
31691,"Oil transfer drawing and watercolor with watercolor borders on board 
",Drawing,black
31694,"Pastel, gouache, and ink on paper",Drawing,black
31698,"Pencil, cut-and-pasted paper, gouache, and watercolor on mulberry paper",Drawing,black
31700,"Charcoal, pastel, and pencil on paper",Drawing,black
31702,Gouache on card,Drawing,black
31704,Tempera and watercolor on mulberry paper,Drawing,black
31705,Watercolor and gouache on cardboard,Drawing,black
31707,Gouache and watercolor on paper,Drawing,black
31708,"Watercolor, gouache, ink, and pencil on paper",Drawing,black
31710,Felt-tip pen on paper on board,Drawing,black
31715,"Watercolor, gouache, and ink on paper",Drawing,black
31716,Synthetic polymer paint on paper,Drawing,black
31717,"a)  Crayon, ink stamp, cut-and-pasted printed paper and transfer type on brown paper
b)  Crayon, ink stamp, and pencil on brown paper
c)  Crayon, ink stamp, cut-and-pasted printed paper on brown paper with cut-out on brown paper
d)  Crayon, ink stamp, cut-and-pasted printed paper and pencil on brown paper with cut-out on brown paper
e)   Crayon, ink stamp and pencil on brown paper with cut-outs",Drawing,black
31721,Gouache and watercolor on mulberry paper,Drawing,black
31726,Ink and pencil on transparentized paper,Drawing,black
31728,Incised gouache on gessoed board,Drawing,black
31729,Pencil and synthetic polymer paint on paper,Drawing,black
31731,Spiral-bound notebook with felt-tip pen and cut paper,Drawing,black
31732,Pigment and varnish on cut-and-pasted paper,Drawing,black
31736,Pencil and ink on paper,Drawing,black
31738,Crayon on black paper,Drawing,black
31740,"Chalk, crayon, pencil, and ballpoint pen on paper",Drawing,black
31741,Crayon and pencil on paper,Drawing,black
31746,Pencil and colored ink on paper,Drawing,black
31747,"Ink, pencil, and gouache on board",Drawing,black
31748,"Postcard, thread, sequins, and ink on gray paper",Drawing,black
31750,Gouache and oil on board,Drawing,black
31752,Gouache and charcoal on paper,Drawing,black
31755,Ink and gouache on paper,Drawing,black
31758,Pencil on graph paper,Drawing,black
31761,"Cut-and-pasted colored paper and printed paper, oil, and pencil on paperboard",Drawing,black
31763,Tempera on board,Drawing,black
31767,Charcoal and chalk on paper,Drawing,black
31770,Pencil and colored pencil on paper,Drawing,black
31771,Graphite wash and pencil on colored paper,Drawing,black
31772,Oil on paper,Drawing,black
31774,Synthetic polymer paint and gesso on newspaper,Drawing,black
31780,Pastel on colored paper,Drawing,black
31784,"Ink, wash, and iron oxide on paper",Drawing,black
31785,Charcoal on brown paper,Drawing,black
31786,"Pencil, colored pencil, and metallic paint on paper",Drawing,black
31787,Charcoal on transparentized paper,Drawing,black
31788,"Felt-tip pen, pastel, and acrylic on paper",Drawing,black
31789,Gouache and pencil on board,Drawing,black
31790,Synthetic polymer paint on newspaper,Drawing,black
31791,Soot on paper,Drawing,black
31795,Ink and pastel on paper,Drawing,black
31802,Lithographic crayon on paper,Drawing,black
31803,"Cut-and-pasted printed paper, charcoal, pastel, and pencil on paper",Drawing,black
31806,Tempera on transparentized paper,Drawing,black
31814,Cut-and-pasted printed paper with cut-and-pasted gelatin silver prints and pencil on paper,Drawing,black
31816,"Pencil, gouache, and ink on gesso on board",Drawing,black
31817,"Charcoal, ink, and white chalk on paper",Drawing,black
31818,Mixed media on paper,Drawing,black
31819,"Ink, watercolor, and gouache on paper",Drawing,black
31821,"Gouache, watercolor, metallic gouache, and pencil on paper",Drawing,black
31823,"Cut-and-pasted paper, printed paper, cloth, and tin foil on cardboard",Drawing,black
31826,"Watercolor, pencil, and ink on paper",Drawing,black
31827,Ink and crayon on paper,Drawing,black
31832,"Pencil, gouache, and watercolor on colored paper",Drawing,black
31837,Oil and candle soot on paper,Drawing,black
31840,Acrylic and pencil on paper,Drawing,black
31841,Pastel on black paper,Drawing,black
31848,"Ink, pencil, and colored pencil on paper",Drawing,black
31849,"Gouache, ink, and cut-and-pasted gelatin silver prints on black paper",Drawing,black
31851,Collage and ink on black paper,Drawing,black
31852,"Gouache, watercolor, and pencil on board",Drawing,black
31859,Charcoal on beige paper,Drawing,black
31868,Incising and oil on metal foil on paper,Drawing,black
31871,".1-6: Pencil and ink on paper
.7: Pencil, colored pencil, and ink on graph paper",Drawing,black
31873,Pencil and airbrush on paper,Drawing,black
31876,"Cut-and-pasted colored and printed paper, cloth, wood, metal, cork, oil, pencil, and ink on board",Drawing,black
31883,Gouache and pencil on paper,Drawing,black
31884,Gouache on paper mounted on board,Drawing,black
31889,"Gouache, watercolor, and pencil on paper",Drawing,black
31891,Crayon and gouache on colored paper,Drawing,black
31893,Pencil and watercolor on paper,Drawing,black
31896,Colored pencil on black paper,Drawing,black
31897,Gouache and pastel on paper,Drawing,black
31898,Oil on tissue paper,Drawing,black
31899,Oil over cardboard collage on canvas,Drawing,black
31903,Pastel and charcoal on paper,Drawing,black
31905,White pigment and pastel on blackboard-paint primed panel,Drawing,black
31911,Pencil on paper mounted on canvas,Drawing,black
31914,Pencil and crayon on paper,Drawing,black
31916,"Pencil, charcoal, and chalk on paper",Drawing,black
31917,"Charcoal, pencil, and colored pencil on paper",Drawing,black
31918,Gouache and graphite on board,Drawing,black
31923,"Pencil, pastel, and oil on two sheets of paper",Drawing,black
31924,Conté crayon on paper,Drawing,black
31925,"Oil, oilstick, china marker, and pencil on vellum",Drawing,black
73418,Brushed aluminum on board,Sculpture,yellow
73474,LANGUAGE + THE MATERIALS REFERRED TO,Sculpture,yellow
73564,"Wood box 11 1/8 x 50 7/8 x 9"" (28.2 x 129.2 x 22.7 cm), with three threads 39 3/8"" (100 cm), glued to three painted canvas strips 5 1/4 x 47 1/4"" (13.3 x 120 cm), each mounted on a glass panel 7 1/4 x 49 3/8 x 1/4"" (18.4 x 125.4 x 0.6 cm), three wood slats 2 1/2 x 43 x 1/8"" (6.2 x 109.2 x 0.2 cm), shaped along one edge to match the curves of the threads",Sculpture,yellow
73567,"Oil, silver leaf, lead wire, and magnifying lens on glass (cracked), mounted between panes of glass in a standing metal frame, 20 1/8 x 16 1/4 x 1 1/2"" (51 x 41.2 x 3.7 cm), on painted wood base, 1 7/8 x 17 7/8 x 4 1/2"" (4.8 x 45.3 x 11.4 cm)",Sculpture,yellow
73733,"Wood, metal, cord, cardboard, wool, wire, leather, and oil on canvas",Sculpture,yellow
74664,"Painted wood, metal, and cardboard, mounted on wood panel",Sculpture,yellow
74814,"Unglazed Kasama red stoneware, wood pole, and hemp cord",Sculpture,yellow
74815,Welded iron,Sculpture,yellow
74816,Painted sheet steel and wood,Sculpture,yellow
74817,"Plastic, hair, fuzz, Play-doh, wire, paint, and wood",Sculpture,yellow
74818,Weatherproof steel,Sculpture,yellow
74819,"Bronze with black patina 17 1/4 x 8 1/2 x 12 1/2"" (43.8 x 21.5 x 31.7 cm), on limestone base 5 3/4 x 6 1/8 x 7 3/8"" (14.6 x 15.6 x 18.7 cm)",Sculpture,yellow
74820,"Welded steel, canvas, black fabric, soot, and wire",Sculpture,yellow
74821,"Lacquered plastic, in two parts",Sculpture,yellow
74825,Painted balsa wood,Sculpture,yellow
74827,Fluorescent light and metal fixtures,Sculpture,yellow
74828,Various objects in glass display case,Sculpture,yellow
74829,Plaster,Sculpture,yellow
74834,Synthetic polymer paint on thirty-six glass squares projecting at right angles from painted board,Sculpture,yellow
74835,Plywood covered with fiberglass and resin,Sculpture,yellow
74836,"Wood, cement, steel, cloth, and leather",Sculpture,yellow
74837,"Metal, paper, and “artist’s shit”",Sculpture,yellow
74838,Marble,Sculpture,yellow
74839,Steel wire,Sculpture,yellow
74840,"Wood, mirror, wire netting, and paper",Sculpture,yellow
74842,Steel,Sculpture,yellow
74845,Cello fingerboard and scroll with horsehair,Sculpture,yellow
74847,"Bronze, two figures in four parts",Sculpture,yellow
74848,Iron,Sculpture,yellow
74849,Embroidery on linen,Sculpture,yellow
74850,Tinted plaster,Sculpture,yellow
74851,Plastic,Sculpture,yellow
74854,"Lagos wood, partly painted",Sculpture,yellow
74855,"Oil on wood, nails, string, bone, and chickpea",Sculpture,yellow
74856,Painted bronze on wood base,Sculpture,yellow
74859,Laminated synthetic polymer,Sculpture,yellow
74866,"Chromium figure, lying on miniature automobile chassis, in a plexiglass case",Sculpture,yellow
74867,Steel and plaster,Sculpture,yellow
74868,Welded iron pipes and boiler within wire mesh,Sculpture,yellow
74869,"Plaster figures, plaster molds, plastic devices, string, cloth, compass, and other materials, in a compartmented wood box",Sculpture,yellow
74870,Copper mounted on wood,Sculpture,yellow
74871,Brazed and welded bronze,Sculpture,yellow
74873,"Antique wrought iron, reconstructed",Sculpture,yellow
74875,"Wood on iron supports, finished with wax and pigment",Sculpture,yellow
74876,Tennessee marble,Sculpture,yellow
74877,Lead and copper wire,Sculpture,yellow
74878,Brass and oxidized bronze,Sculpture,yellow
74879,"Wood, dust, sand, and synthetic polymer resin on painted plywood",Sculpture,yellow
74881,"Papier-mâché, paint, synthetic polymer, gauze, glass, and wood",Sculpture,yellow
74882,Welded and hammered steel brazed with bronze and brass,Sculpture,yellow
74883,Wrought iron,Sculpture,yellow
74884,Iron and steel,Sculpture,yellow
74885,Ebony,Sculpture,yellow
74887,"Nickel plated iron, welded",Sculpture,yellow
74888,Scrap iron and steel,Sculpture,yellow
74894,Terra cotta,Sculpture,yellow
74896,Unglazed Karatsu red stoneware and wood,Sculpture,yellow
74897,"Plastic cord, plexiglass, and wood",Sculpture,yellow
74898,Elmwood,Sculpture,yellow
74900,Stainless steel,Sculpture,yellow
74901,"Latex, vinyl paint, and synthetic polymer paint on a washing-powder boxes",Sculpture,yellow
74902,"Two-volume book of clay, photographs, synthetic polymer paint, glass, porcelain, and copper wire on board, bound with canvas, each on a steel lectern designed by the artist",Sculpture,yellow
74903,Walnut,Sculpture,yellow
74905,"Glazed and painted earthenware, mounted on steel rod and wood base",Sculpture,yellow
74906,"Gelatin silver prints, electric lamps, and tin biscuit boxes containing cloth fragments",Sculpture,yellow
74908,"Hinged painted wood and mirrors, one hundred parts",Sculpture,yellow
74910,Plastic-coated stainless steel,Sculpture,yellow
74913,"Branches, wood ball, and coffee on wall, with glass mounted on wood pedestal",Sculpture,yellow
74915,Wood and rope,Sculpture,yellow
74917,Beechwood,Sculpture,yellow
74918,"Polychrome wood, cardboard, and crushed eggshells",Sculpture,yellow
74919,Stainless steel and artist certificate,Sculpture,yellow
74920,Painted sheet aluminum and copper rods,Sculpture,yellow
74923,"Polystyrene, string, and rubber tubes",Sculpture,yellow
74924,Chocolate and steel,Sculpture,yellow
74927,"Exterior: steel, insulation, wood and glass. Interior: colored lights, water, fiberglass, wood, papier-mâché, pebbles and paint",Sculpture,yellow
74928,Lead,Sculpture,yellow
74929,"Glass bottle and stopper encrusted with shells, glass, barnacles, coral, and metal",Sculpture,yellow
74930,Stone (gneiss),Sculpture,yellow
74931,"Wood and glass, painted",Sculpture,yellow
74934,Laminated wood,Sculpture,yellow
74936,Polystyrene,Sculpture,yellow
74937,"Leather valise containing miniature replicas, photographs, color reproductions of works by Duchamp, and one ""original"" drawing [Large Glass, collotype on celluloid, 7 1/2 x 9 1/2"" (19 x 23.5 cm)]",Sculpture,yellow
74938,Opaque plexiglass,Sculpture,yellow
74939,Fluorescent light and metal fixture,Sculpture,yellow
74940,Cast stone,Sculpture,yellow
74942,"Painted and burnished aluminum, three elements",Sculpture,yellow
74943,"Casein on wood with metal, nails, and string",Sculpture,yellow
74944,Painted rope and wood,Sculpture,yellow
74945,Painted steel,Sculpture,yellow
74946,Mirrors on formica-covered base,Sculpture,yellow
74947,Oak,Sculpture,yellow
74949,"Book of twenty-three double page photographs with synthetic polymer paint and graphite mounted on cardboard, and cover of graphite and synthetic polymer paint on paper mounted on cardboard, bound cloth, on a steel lectern designed by the artist",Sculpture,yellow
74951,Burnt mattress,Sculpture,yellow
74954,Carrara marble and milk,Sculpture,yellow
74955,"Steel beam, steel bed frame with propane gas torch, five steel shelves, smoke traces, and steel panel and shelf with wood",Sculpture,yellow
74956,Wood,Sculpture,yellow
74957,Padouk wood,Sculpture,yellow
74959,Stoneware,Sculpture,yellow
74962,Stone,Sculpture,yellow
74963,Enamel on metal with marble base,Sculpture,yellow
74964,Mirrors and coral,Sculpture,yellow
74965,"Pine, glass, steel wool, metal, rubber and paint",Sculpture,yellow
74966,"Wood, glass, wire, and string",Sculpture,yellow
74967,"Cement, burnt wood, and wire mesh",Sculpture,yellow
74969,"Diamond plate aluminum, painted steel, and mirrors stained with translucent color",Sculpture,yellow
74971,Ferrous sheet metal and wire,Sculpture,yellow
74972,Coated glass and electric light bulb,Sculpture,yellow
74973,"Bronze 15 3/4"" (40 cm) high, on four-part pedestal of marble 3 5/8"" (9.1 cm) x 3 3/4"" (9.4 cm) in diameter, limestone 9 7/8 x 14 5/8 x 14 1/8"" (25 x 37.1 x 36.2 cm), and two oak sections (carved by the artist) 7 3/8 x 14 3/8 x 14 1/4"" (18.6 x 36.3 x 36.2) and 35 1/2 x 11 x 11"" (90.2 x 28 x 28 cm), overall 71 1/4 x 14 1/4 x 14 1/2"" (181 x 36.2 x 36.8 cm)",Sculpture,yellow
74974,Welded and cast aluminum,Sculpture,yellow
74975,Painted steel and aluminum,Sculpture,yellow
74978,"Wood, stained and painted",Sculpture,yellow
74979,White formica box with painted perforated metal screens amd fluorescent lights,Sculpture,yellow
74980,"Paint and papier-mâché on aluminum screening, 19 units (one missing)",Sculpture,yellow
74983,"Steel, duraluminum, plexiglass, and motor, in illuminated wood stage",Sculpture,yellow
74986,Cast iron and steel,Sculpture,yellow
74987,Synthetic polymer paint on wood and polished aluminum in painted wood box,Sculpture,yellow
74988,Chrome-plated metal drum containing a roll of paper with an ink line drawn along its 1000-meter length,Sculpture,yellow
74989,Stainless steel on painted wood base,Sculpture,yellow
74990,Painted aluminum,Sculpture,yellow
74991,"Steel beams, aluminum, paint, and wire",Sculpture,yellow
74992,"Wax figure, suitcase, tin cans, shredded nylon, and other materials, in wood box",Sculpture,yellow
74994,Cast concrete and steel,Sculpture,yellow
74998,"Welded brass and steel, painted",Sculpture,yellow
75001,"Pigmented wax, fur, paper, balsa wood, foam, metal, plastic, glass, and wire in plexiglass vitrine",Sculpture,yellow
75003,Steel and epoxy,Sculpture,yellow
75004,Partially silvered glass with chromium frame,Sculpture,yellow
75005,"Synthetic polymer paint, bronze powder and lacquer on wood, anodized aluminum, rubber, plastic, formica, leather, chrome-plated steel, and canvas",Sculpture,yellow
75006,"Aluminum, brass, steel, bronze, plastic, stainless steel, marble, and electric lights",Sculpture,yellow
75011,Limestone,Sculpture,yellow
75013,"Stainless steel, welded with silver",Sculpture,yellow
75018,Wood box with lid and removable balsa wood-and-fabric cube,Sculpture,yellow
75019,"Weatherproof steel, six plates",Sculpture,yellow
75020,"Casein on wood panels with metal, plastic and rubber",Sculpture,yellow
75021,"Bronze, in seven parts",Sculpture,yellow
75022,Glass,Sculpture,yellow
75025,"Gelatin silver prints, neon tubing, transformer, and wire",Sculpture,yellow
75026,"Fur-covered cup, saucer, and spoon",Sculpture,yellow
75027,Painted steel tubing,Sculpture,yellow
75029,Vinyl-coated hexagonal wire netting,Sculpture,yellow
75031,"Forged steel, in five parts",Sculpture,yellow
75032,Wood and iron,Sculpture,yellow
75035,Painted plaster and steel,Sculpture,yellow
75037,"Ball bearings embedded in plexiglass, in plexiglass frame",Sculpture,yellow
75038,"Wood, stone, earth, plastic, and oil-based paint, in three parts",Sculpture,yellow
75040,"Wood, resin, aluminum, roof cement, and color agent",Sculpture,yellow
75041,Painted wood and plaster,Sculpture,yellow
75043,"White marble 22"" (55.9 cm) high, on three-part limestone pedestal 70"" (177.8 cm) high, of which the middle section is Double Caryatid, c. 1908",Sculpture,yellow
75046,Granite,Sculpture,yellow
75047,Painted steel rods and sheet iron,Sculpture,yellow
75048,Wrought iron with glass cullet,Sculpture,yellow
75050,"Miniature French window, painted wood frame, and panes of glass covered with black leather",Sculpture,yellow
75051,"Fiberglass and burlap, two parts",Sculpture,yellow
75052,Copper sheet,Sculpture,yellow
75053,Cor-Ten steel,Sculpture,yellow
75054,Mirror with painted wood frame and electric light in metal fixture,Sculpture,yellow
75056,Four-sided structure of mixed media with openings on each side and palm frond roof,Sculpture,yellow
75059,"Plaster in two sections, partly painted",Sculpture,yellow
75064,"Plywood, open construction partially painted with aluminum paint, and wire",Sculpture,yellow
75065,Synthetic polymer paint and silkscreen ink on wood,Sculpture,yellow
75067,"Suitcases, cardboard box, plaster paint and gauze, in three parts",Sculpture,yellow
75068,Painted steel and found metal elements,Sculpture,yellow
75070,"Concrete blocks, river stones, and geological specimens",Sculpture,yellow
75072,Concrete blocks,Sculpture,yellow
75073,"Painted iron pipe, steel wire, motor, and wood with string",Sculpture,yellow
75074,"Three-channel video (color, no sound), video monitors, steel, and internally lubricated plastic, and fluorescent light fixtures",Sculpture,yellow
75075,"Fat, felt and cardboard box in metal and glass display case",Sculpture,yellow
75077,"Lead, hare's blood, glass, and steel",Sculpture,yellow
75078,Sand and binder on wood,Sculpture,yellow
75079,Bricks and glass,Sculpture,yellow
75080,Fabrics and ropes on wood,Sculpture,yellow
75081,"Plaster, wood, steel, wire lath, and enamel paint",Sculpture,yellow
75082,"Wood, cotton, wool, down, and enamel paint",Sculpture,yellow
75083,Enamel paint on wood,Sculpture,yellow
75085,"Beeswax, cotton, wood, leather, and human hair",Sculpture,yellow
75087,"Wood, beeswax, leather, fabric, and human hair",Sculpture,yellow
75088,Wax and human hair,Sculpture,yellow
75089,"Steel, two parts",Sculpture,yellow
75092,"Clocks, paint on wall",Sculpture,yellow
75094,"Paper, seven parts",Sculpture,yellow
75095,Concrete,Sculpture,yellow
75096,"Wire, underpants, and glue on base with lettering",Sculpture,yellow
75097,Glass with polarization and birefringence sheets,Sculpture,yellow
75099,"Video (19 min.) and book. Book published by DIA Art Foundation, printed by Conrad Gleber Printing and Publishing. Directed by Mark Pellington. Edition of 2500",Sculpture,yellow
75101,Painted iron,Sculpture,yellow
75102,"Painted steel, ten units",Sculpture,yellow
75103,Plastic and copper,Sculpture,yellow
75105,"Vacuum cleaners, plexiglass, and fluorescent lights",Sculpture,yellow
75108,"Oak 43 3/4 x 11 3/8 x 14 1/2"" (111 x 28.8 x 36.8 cm), on oak footing 7 1/2 x 9 3/4 x 10 5/8"" (18.8 x 24.6 x 27 cm), overall 51 1/4"" (130 cm) high. Limestone cylinder, 11 7/8"" (30.2 cm) high",Sculpture,yellow
75109,Porcelain on formica base,Sculpture,yellow
75112,Painted sheet steel,Sculpture,yellow
75114,Hammered and welded iron,Sculpture,yellow
75115,"Neon tubing and wire with glass tubing suspension frames, three parts",Sculpture,yellow
75116,Plexiglass and painted steel tubing,Sculpture,yellow
75117,Enamel on steel and plastic laminate on wood,Sculpture,yellow
75118,"Plaster, burlap, expanded steel mesh, and steel beams",Sculpture,yellow
75121,"Two color video monitors, two videotape players, two videotapes (color, sound), and cable",Sculpture,yellow
75122,Polyurethane foam and wire,Sculpture,yellow
75123,Plexiglass,Sculpture,yellow
75125,"Two color video monitors, two laser disc players, two laser discs (color, sound), and metal table",Sculpture,yellow
30700,"Gelatin silver print mounted on paper from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print",Photograph,blue
36358,Albumen silver print,Photograph,blue
36360,Matte albumen silver print,Photograph,blue
36361,Gelatin silver printing-out-paper print,Photograph,blue
37055,Matte gelatin silver printing-out-paper print,Photograph,blue
41286,Dye transfer print,Photograph,blue
41288,Silver dye bleach print,Photograph,blue
41294,Albumen silver prints from paper negatives (two-part panorama),Photograph,blue
41295,Two gelatin silver prints,Photograph,blue
41296,Digital photograph; gelatin silver print,Photograph,blue
41301,Three salted paper prints,Photograph,blue
41307,Enlargement from a 9 x 12 con. negative,Photograph,blue
41309,Salted paper print,Photograph,blue
41315,"Gelatin silver print, printed 1940 from dry plate by Berenice Abbott",Photograph,blue
41329,Albumen silver print from a paper negative,Photograph,blue
41339,Book containing gelatin silver prints with applied color,Photograph,blue
41357,Book containing gelatin silver prints,Photograph,blue
41361,Album of 40 woodburytypes,Photograph,blue
41364,Three gelatin silver prints,Photograph,blue
41377,"Gelatin silver print
",Photograph,blue
41378,Gum bichromate print,Photograph,blue
41387,Carbon print,Photograph,blue
41395,Gelatin silver prints,Photograph,blue
41396,Platinum print,Photograph,blue
41398,Salted paper print from a paper negative,Photograph,blue
41399,"Gelatin silver print, printed 1983",Photograph,blue
41415,Daguerreotype,Photograph,blue
41427,"Gelatin silver printing-out-paper print, printed 1966-69",Photograph,blue
41435,"Gelatin silver print, printed 1945",Photograph,blue
41440,Gelatin silver print (chlorobromide),Photograph,blue
41448,"Dry plate, printed 1940",Photograph,blue
41449,"Cut and pasted printed papers, airbrushed gouache, ink, and pencil on board",Photograph,blue
41453,Palladium print,Photograph,blue
41458,Chromogenic color print,Photograph,blue
41463,Pigment print,Photograph,blue
41467,"Gelatin silver printing-out-paper print, printed by Lee Friedlander 1966-69",Photograph,blue
41478,"Photograph (""Improved"")",Photograph,blue
41487,Albumanized salted paper print from a paper negative,Photograph,blue
41492,Collotype,Photograph,blue
41518,"Gelatin silver print, printed 1990",Photograph,blue
41538,Photograph,Photograph,blue
41543,Palladium and cyanotype print,Photograph,blue
41546,Gum platinum print,Photograph,blue
41565,Photogravure,Photograph,blue
41572,"Gelatin silver print, printed 1980",Photograph,blue
41573,"Dye transfer print, printed 1993",Photograph,blue
41592,"Gelatin silver print, printed 1989",Photograph,blue
41597,"Gelatin silver print, printed 1943",Photograph,blue
41601,"Gelatin silver print, printed 1962",Photograph,blue
41604,Half tone relief,Photograph,blue
41612,Gelatin silver print with applied acrylic paint,Photograph,blue
41614,Photolithograph,Photograph,blue
